city,lat,lng,population,density
Vancouver,49.25,-123.1,2264823,5492.6
Surrey,49.19,-122.8489,517887,1636.8
Victoria,48.4283,-123.3647,335696,4406.3
Burnaby,49.2667,-122.9667,232755,2568.7
Richmond,49.1667,-123.1333,198309,1534.1
Kelowna,49.8881,-119.4956,142146,601.3
Abbotsford,49.05,-122.3167,141397,376.5
Coquitlam,49.2839,-122.7919,139284,1138.9
Langley,49.1044,-122.5827,117285,380.8
Saanich,48.484,-123.381,114148,1099.9
Delta,49.0847,-123.0586,102238,567.4
Kamloops,50.6761,-120.3408,100046,301.7
Nanaimo,49.1642,-123.9364,90504,918
North Vancouver,49.3641,-123.0066,85935,534.6
Chilliwack,49.1577,-121.9509,83788,320.2
White Rock,49.025,-122.8028,82368,3893.1
Maple Ridge,49.2167,-122.6,82256,308.3
Prince George,53.9169,-122.7494,74003,232.5
New Westminster,49.2069,-122.9111,70996,4543.4
Port Coquitlam,49.2625,-122.7811,58612,2009.4
Vernon,50.267,-119.272,44600,417.7
Duncan,48.7787,-123.7079,44451,2387.1
West Vancouver,49.3667,-123.1667,42473,486.8
Mission,49.1337,-122.3112,38833,170.6
Langford Station,48.4506,-123.5058,35342,885
Campbell River,50.0244,-125.2475,35138,1143.9
Penticton,49.4911,-119.5886,33761,801.8
Port Moody,49.2831,-122.8317,33551,1295.9
East Kelowna,49.8625,-119.5833,32655,264.4
North Cowichan,48.8236,-123.7192,29676,147.3
Courtenay,49.6878,-124.9944,25599,789.9
Fort St. John,56.2465,-120.8476,20155,820.2
Squamish,49.7017,-123.1589,19512,186.1
Cranbrook,49.5097,-115.7667,19259,604.7
Pitt Meadows,49.2333,-122.6833,18573,214.7
Oak Bay,48.4264,-123.3228,18094,1717.7
Salmon Arm,50.7022,-119.2722,17706,144
Port Alberni,49.2339,-124.805,17678,894.6
Esquimalt,48.4306,-123.4147,17655,2494.7
Colwood,48.4236,-123.4958,16859,954.2
Central Saanich,48.5142,-123.3839,16814,406.8
Terrace,54.5164,-128.5997,15723,212.7
Comox,49.6733,-124.9022,14828,838.2
Powell River,49.8353,-124.5247,13157,444.1
Sooke,48.3761,-123.7378,13001,229.6
Dawson Creek,55.7606,-120.2356,12978,475.4
Lake Country,50.0833,-119.4142,12922,105.8
Parksville,49.315,-124.312,12514,854.6
Prince Rupert,54.3122,-130.3271,12220,227.7
Whistler,50.1208,-122.9544,11854,49.3
Sidney,48.6506,-123.3986,11672,2290.7
Summerland,49.6006,-119.6778,11615,156.8
North Saanich,48.6142,-123.42,11249,301.8
Williams Lake,52.1294,-122.1383,10753,327
Nelson,49.5,-117.2833,10664,1552.3
View Royal,48.4517,-123.4339,10408,724.8
Coldstream,50.22,-119.2481,10314,155.6
Sechelt,49.4742,-123.7542,10200,212.9
Quesnel,52.9784,-122.4927,9879,279.2
Qualicum Beach,49.35,-124.4333,8943,497.4
Ladysmith,48.9975,-123.8203,8537,711.9
Kitimat,54,-128.7,8131,34.7
Castlegar,49.3256,-117.6661,8039,408.6
Trail,49.095,-117.71,7709,220.7
Kimberley,49.6697,-115.9775,7425,122.5
Merritt,50.1128,-120.7897,7139,273.9
Hope,49.3858,-121.4419,6181,151
Kent,49.2833,-121.75,6067,35.9
Peachland,49.7736,-119.7369,5428,340.1
Northern Rockies,59,-123.75,5393,0.063
Creston,49.09,-116.51,5351,626.8
Smithers,54.7819,-127.1681,5351,514.9
Fernie,49.5042,-115.0628,5249,388.8
Spallumcheen,50.4462,-119.2121,5106,20
Osoyoos,49.0325,-119.4661,5085,598.2
Oliver,49.1844,-119.55,4928,896
Armstrong,50.4483,-119.1961,4830,927.7
Metchosin,48.3819,-123.5378,4708,66.2
Gibsons,49.4028,-123.5036,4605,1066
Vanderhoof,54.0143,-124.0089,4439,81
Grand Forks,49.0333,-118.44,4274,388.1
Port Hardy,50.7225,-127.4928,4132,106.7
Sparwood,49.7331,-114.8853,3784,19.4
Cumberland,49.6206,-125.0261,3753,128.9
Rossland,49.0786,-117.7992,3729,62.4
Mackenzie,55.3381,-123.0944,3714,22.6
Golden,51.3019,-116.9667,3708,325
Bowen Island,49.3833,-123.3833,3680,73.4
Fruitvale,49.1161,-117.5414,3627,1363.5
Westbank,49.8423,-119.6743,3581,80.6
Lumby,50.2494,-118.9656,3500,379.5
Invermere,50.5083,-116.0303,3391,315.9
Lake Cowichan,48.8258,-124.0542,3226,369.6
Ellison,49.9646,-119.3178,3094,37.6
Houston,54.3975,-126.6419,2993,41
Enderby,50.5508,-119.1397,2964,695.8
Cedar,49.0853,-123.8259,2836,83.8
Princeton,49.4589,-120.506,2828,47.4
Errington,49.2874,-124.3433,2677,97.4
Chetwynd,55.6972,-121.6333,2635,43.1
Pemberton,50.3203,-122.8053,2574,217.5
Elkford,50.0214,-114.9158,2499,24.6
Sicamous,50.8378,-118.9703,2429,192
Clearwater,51.65,-120.0333,2324,41.7
Lillooet,50.6864,-121.9364,2321,84.4
Chase,50.8189,-119.6844,2286,607
Highlands,48.52,-123.5,2225,58.5
Anmore,49.3144,-122.8564,2210,80.2
Cowichan Bay,48.7666,-123.6743,2086,89.5
Logan Lake,50.4911,-120.8153,2073,6.4
Saltair,48.9504,-123.7637,2069,305.1
Port McNeill,50.5903,-127.0847,2064,149.9
Tumbler Ridge,55.1333,-121,1987,1.3
One Hundred Mile House,51.6413,-121.3127,1980,37.2
Tofino,49.1275,-125.8852,1932,183.1
Nisga'a,55.1078,-129.4293,1880,0.9
Burns Lake,54.2292,-125.7625,1779,269.8
Warfield,49.0953,-117.7344,1729,910
Ucluelet,48.9358,-125.5433,1717,264.5
Barrière,51.1803,-120.1261,1713,164.7
Naramata,49.5886,-119.5838,1676,207.8
Royston,49.6405,-124.9406,1616,361.3
Coombs,49.3008,-124.4049,1612,102.8
Nakusp,50.2434,-117.8002,1605,195.2
Lakeview,49.9026,-119.5699,1600,63.5
Fort St. James,54.4431,-124.2542,1598,72
Ashcroft,50.7256,-121.2806,1558,32.3
Hilliers,49.3022,-124.4727,1540,53
Keremeos,49.2025,-119.8294,1502,717.5
Gold River,49.7769,-126.0514,1500,15
Grindrod,50.63,-119.1314,1470,34
Harrison Hot Springs,49.3,-121.7819,1468,263.4
Popkum,49.1911,-121.7553,1382,216.7
Taylor,56.159,-120.6878,1373,80.3
Lions Bay,49.4581,-123.2369,1334,526.5
Dunsmuir,49.3696,-124.5772,1330,62.3
Telkwa,54.6972,-127.05,1327,191.9
Sorrento,50.8832,-119.4782,1285,108.3
Kaleden,49.3926,-119.5955,1203,278.7
Salmo,49.1942,-117.2778,1141,466.2
Windermere,50.4856,-115.9948,1092,104
Youbou,48.8562,-124.1731,1086,122.8
Ootischenia,49.2916,-117.6323,1080,135.4
Valemount,52.8284,-119.2659,1021,197.6
Hudson Hope,56.0316,-121.9057,1012,1.1
